site_id,site_name,task_id,schedule_start,schedule_end,status
265,"Houston TX - FM 1960",761,"2026-02-07T23:00:00.000+00:00","2026-02-07T23:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-08T00:00:00.000+00:00","2026-02-08T00:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-08T01:00:00.000+00:00","2026-02-08T01:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-08T02:00:00.000+00:00","2026-02-08T05:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",761,"2026-02-08T13:00:00.000+00:00","2026-02-08T13:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",761,"2026-02-08T14:00:00.000+00:00","2026-02-08T14:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",761,"2026-02-08T15:00:00.000+00:00","2026-02-08T15:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",761,"2026-02-08T16:00:00.000+00:00","2026-02-08T16:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-08T17:00:00.000+00:00","2026-02-08T17:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-08T18:00:00.000+00:00","2026-02-08T18:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-08T19:00:00.000+00:00","2026-02-08T19:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-08T20:00:00.000+00:00","2026-02-08T20:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-08T21:00:00.000+00:00","2026-02-08T21:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-08T22:00:00.000+00:00","2026-02-08T22:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",761,"2026-02-08T23:00:00.000+00:00","2026-02-08T23:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-09T00:00:00.000+00:00","2026-02-09T00:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",761,"2026-02-09T01:00:00.000+00:00","2026-02-09T01:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",761,"2026-02-09T02:00:00.000+00:00","2026-02-09T05:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",761,"2026-02-09T13:00:00.000+00:00","2026-02-09T13:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-09T14:00:00.000+00:00","2026-02-09T14:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-09T15:00:00.000+00:00","2026-02-09T15:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-09T16:00:00.000+00:00","2026-02-09T16:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-09T17:00:00.000+00:00","2026-02-09T17:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-09T18:00:00.000+00:00","2026-02-09T18:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-09T19:00:00.000+00:00","2026-02-09T19:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-09T20:00:00.000+00:00","2026-02-09T20:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-09T21:00:00.000+00:00","2026-02-09T21:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",761,"2026-02-09T22:00:00.000+00:00","2026-02-09T22:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-09T23:00:00.000+00:00","2026-02-09T23:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-10T00:00:00.000+00:00","2026-02-10T00:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-10T01:00:00.000+00:00","2026-02-10T01:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",761,"2026-02-10T02:00:00.000+00:00","2026-02-10T05:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-10T13:00:00.000+00:00","2026-02-10T13:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-10T14:00:00.000+00:00","2026-02-10T14:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-10T15:00:00.000+00:00","2026-02-10T15:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-10T16:00:00.000+00:00","2026-02-10T16:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-10T17:00:00.000+00:00","2026-02-10T17:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-10T18:00:00.000+00:00","2026-02-10T18:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-10T19:00:00.000+00:00","2026-02-10T19:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-10T20:00:00.000+00:00","2026-02-10T20:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-10T21:00:00.000+00:00","2026-02-10T21:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-10T22:00:00.000+00:00","2026-02-10T22:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-10T23:00:00.000+00:00","2026-02-10T23:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-11T00:00:00.000+00:00","2026-02-11T00:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-11T01:00:00.000+00:00","2026-02-11T01:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-11T02:00:00.000+00:00","2026-02-11T05:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-11T13:00:00.000+00:00","2026-02-11T13:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-11T14:00:00.000+00:00","2026-02-11T14:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-11T15:00:00.000+00:00","2026-02-11T15:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-11T16:00:00.000+00:00","2026-02-11T16:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-11T17:00:00.000+00:00","2026-02-11T17:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-11T18:00:00.000+00:00","2026-02-11T18:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-11T19:00:00.000+00:00","2026-02-11T19:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",761,"2026-02-11T20:00:00.000+00:00","2026-02-11T20:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-11T21:00:00.000+00:00","2026-02-11T21:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-11T22:00:00.000+00:00","2026-02-11T22:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-11T23:00:00.000+00:00","2026-02-11T23:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-12T00:00:00.000+00:00","2026-02-12T00:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-12T01:00:00.000+00:00","2026-02-12T01:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-12T02:00:00.000+00:00","2026-02-12T05:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",761,"2026-02-12T13:00:00.000+00:00","2026-02-12T13:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-12T14:00:00.000+00:00","2026-02-12T14:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-12T15:00:00.000+00:00","2026-02-12T15:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-12T16:00:00.000+00:00","2026-02-12T16:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-12T17:00:00.000+00:00","2026-02-12T17:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-12T18:00:00.000+00:00","2026-02-12T18:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-12T19:00:00.000+00:00","2026-02-12T19:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-12T20:00:00.000+00:00","2026-02-12T20:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-12T21:00:00.000+00:00","2026-02-12T21:59:59.999+00:00","Expired"
265,"Houston TX - FM 1960",761,"2026-02-12T22:00:00.000+00:00","2026-02-12T22:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-12T23:00:00.000+00:00","2026-02-12T23:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-13T00:00:00.000+00:00","2026-02-13T00:59:59.999+00:00","Completed"
265,"Houston TX - FM 1960",761,"2026-02-13T01:00:00.000+00:00","2026-02-13T01:59:59.999+00:00","Completed"
